id,name,host_id,host_name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,beds,price,minimum_nights,number_of_reviews,review_scores_rating,reviews_per_month
197677,Rental unit in Sumida · ★4.77 · 1 bedroom · 2 beds · 1 bath,964081,Yoshimi & Marek,Sumida Ku,35.71707,139.82608,Entire rental unit,Entire home/apt,2,2,12000.0,3,174,4.77,1.16
776070,Home in Kita-ku · ★4.98 · 1 bedroom · 1 bed · 1 shared bath,801494,Kei,Kita Ku,35.73844,139.76917,Private room in home,Private room,1,1,8541.0,3,249,4.98,1.85
905944,Rental unit in Shibuya · ★4.78 · 2 bedrooms · 4 beds · 1 bath,4847803,Best Stay In Tokyo!,Shibuya Ku,35.67878,139.67847,Entire rental unit,Entire home/apt,6,4,27759.0,3,198,4.78,1.52
1016831,Home in Setagaya · ★4.95 · 1 bedroom · 2 beds · 1 shared bath,5596383,Wakana,Setagaya Ku,35.658,139.67134,Private room in home,Private room,2,2,16470.0,30,260,4.95,1.99
3838856,Home in Shinjuku · ★4.89 · 3 bedrooms · 5 beds · 1.5 baths,4626879,Tracey,Shibuya Ku,35.68245,139.69009,Entire home,Entire home/apt,7,5,26775.0,1,220,4.89,1.95
1196177,Home in 足立区 · ★4.75 · 1 bedroom · 1.5 shared baths,5686404,Yukiko,Adachi Ku,35.744730998785165,139.79738412263163,Private room in home,Private room,4,3,6014.0,2,108,4.75,0.85
3845889,Rental unit in Suginami-ku · ★4.86 · 1 bedroom · 1 bed · 1 bath,19089769,Manami,Suginami Ku,35.70679,139.6551,Entire rental unit,Entire home/apt,2,1,12000.0,3,91,4.86,0.97
3846001,Rental unit in Suginami-ku · ★4.92 · Studio · 1 bed · 1 bath,19089769,Manami,Suginami Ku,35.70686575604375,139.6554380782686,Entire rental unit,Entire home/apt,2,1,12000.0,4,133,4.92,1.18
1249571,Home in Shibuya · ★4.97 · 1 bedroom · 1 bed · 1 bath,6809418,Yume,Shibuya Ku,35.65111,139.72165,Entire home,Entire home/apt,3,1,54706.0,7,121,4.97,0.97
3871442,Rental unit in Suginami-ku · ★4.86 · 1 bedroom · 1 bed · 1 bath,18776800,LiveinAsia,Suginami Ku,35.70399,139.59775,Entire rental unit,Entire home/apt,2,1,15000.0,3,36,4.86,0.32
1263000,Home in Setagaya · ★4.80 · 1 bedroom · 2 beds · 1 shared bath,6876728,Haruko,Setagaya Ku,35.60742,139.67616,Private room in home,Private room,1,2,8000.0,2,188,4.8,1.47
3886601,Home in Shibuya · ★4.62 · 3 bedrooms · 6 beds · 1.5 baths,10415965,Azabu,Shibuya Ku,35.64966,139.72181,Entire home,Entire home/apt,8,6,52857.0,7,143,4.62,1.27
1298200,Home in Katsushika · ★4.94 · 2 bedrooms · 4 beds · 2 baths,7740848,K Family,Katsushika Ku,35.73987,139.85176,Entire home,Entire home/apt,4,4,33257.0,10,382,4.94,2.99
3920124,Home in Higashimurayama-shi · ★4.90 · 2 bedrooms · 6 beds · 1 bath,20307199,Hotaka,Higashimurayama Shi,35.76577,139.44678,Entire home,Entire home/apt,4,6,68375.375,1,133,4.9,1.26
3956263,Tiny home in Shibuya · ★4.81 · 2 bedrooms · 3 beds · 1 bath,4847803,Best Stay In Tokyo!,Shibuya Ku,35.67813,139.67913,Tiny home,Entire home/apt,5,3,24200.0,2,138,4.81,1.23
1306664,Rental unit in Shinjuku · ★4.91 · 1 bedroom · 1 bed · 1 bath,7103955,Masaharu,Shinjuku Ku,35.70263,139.74147,Entire rental unit,Entire home/apt,2,1,61429.0,3,202,4.91,1.63
4026948,Home in Shinagawa · ★4.39 · 1 bedroom · 2 beds · 1 private bath,20878710,Daisuke,Shinagawa Ku,35.60033,139.73415,Private room in home,Private room,2,2,6600.0,3,131,4.39,1.17
1394124,Home in Meguro · ★4.79 · 2 bedrooms · 2 beds · 2.5 baths,5710367,David,Meguro Ku,35.62039,139.69983,Entire home,Entire home/apt,10,2,44286.0,2,291,4.79,2.3
